"Column","Type","Size","Nulls","Auto","Default","Children","Parents","Comments"
"dpe_mix_arrete_type_plancher_bas_deperditif","text","2147483647","√","","null","","","materiaux ou principe constructif principal des planchers bas"
"dpe_mix_arrete_surface_plancher_bas_totale","numeric","0","√","","null","","","somme de la surface de plancher bas totale"
"dpe_mix_arrete_surface_plancher_bas_deperditif","numeric","0","√","","null","","","somme de la surface de plancher bas donnant sur des locaux non chauffés et sur l’extérieur (surfaces déperditives)"
"dpe_mix_arrete_u_plancher_bas_final_deperditif","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des planchers bas en prenant en compte l’atténuation forfaitaire du U lorsqu’en contact avec le sol de la méthode 3CL(W/m²/K)"
"dpe_mix_arrete_u_plancher_bas_brut_deperditif","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des planchers bas brut."
"dpe_mix_arrete_l_local_non_chauffe_plancher_bas","_text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les planchers bas (enum DPE 2021)"
"dpe_mix_arrete_local_non_chauffe_principal_plancher_bas","text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les planchers bas (enum DPE 2021)"
"dpe_mix_arrete_type_adjacence_principal_plancher_bas","text","2147483647","√","","null","","","type d’adjacence principale des planchers bas (sont ils en contact avec l’extérieur ou un local non chauffé)"
"dpe_mix_arrete_type_isolation_plancher_haut","text","2147483647","√","","null","","","type d’isolation principal des planchers hauts déperditifs pour le DPE"
"dpe_mix_arrete_type_plancher_haut_deperditif","text","2147483647","√","","null","","","materiaux ou principe constructif principal des planchers hauts"
"dpe_mix_arrete_surface_plancher_haut_totale","numeric","0","√","","null","","","somme de la surface de plancher haut totale"
"dpe_mix_arrete_surface_plancher_haut_deperditif","numeric","0","√","","null","","","somme de la surface de plancher haut donnant sur des locaux non chauffés et sur l’extérieur (surfaces déperditives)"
"dpe_mix_arrete_u_plancher_haut_deperditif","numeric","0","√","","null","","","Coefficient de transmission thermique moyen des planchers hauts (W/m²/K)"
"dpe_mix_arrete_l_local_non_chauffe_plancher_haut","_text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les planchers hauts (enum DPE 2021)"
"dpe_mix_arrete_local_non_chauffe_principal_plancher_haut","text","2147483647","√","","null","","","liste des locaux non chauffés en contact avec les planchers hauts (enum DPE 2021)"
"dpe_mix_arrete_type_adjacence_principal_plancher_haut","text","2147483647","√","","null","","","type d’adjacence principale des planchers haut (sont ils en contact avec l’extérieur ou un local non chauffé)"
"dpe_mix_arrete_type_porte","text","2147483647","√","","null","","","type de porte du DPE (enum version DPE 2021)"
"dpe_mix_arrete_surface_porte","numeric","0","√","","null","","","somme de la surface de portes du DPE"
